IDBMd;IDGG;IDM;BMshareGG
G22-HEV-NMC111;Iprinc;8;0
G22-HEV-NMC111;Iprinc;66;0
G22-HEV-NMC111;Iprinc;15;0
G22-HEV-NMC111;Iprinc;68;0
G22-HEV-NMC111;Iprinc;11;0
G22-HEV-NMC111;Iprinc;85;0
G22-HEV-NMC111;Iprinc;86;0
G22-HEV-NMC111;Iprinc;87;0
G22-HEV-NMC111;Iprinc;88;0
G22-HEV-NMC111;Iprinc;89;0
G22-HEV-NMC111;Iprinc;90;0
G22-HEV-NMC111;Iprinc;91;0
G22-HEV-NMC111;Iprinc;92;0.1029
G22-HEV-NMC111;Iprinc;93;0
G22-HEV-NMC111;Iprinc;94;0
G22-HEV-NMC111;Iprinc;95;0
G22-HEV-NMC111;Iprinc;96;0
G22-HEV-NMC111;Iprinc;97;0
G22-HEV-NMC111;Iprinc;98;0
G22-HEV-NMC111;Iprinc;99;0
G22-HEV-NMC111;Iprinc;100;0
G22-PHEV50-Ni-MH;Iprinc;41;0
G22-PHEV50-Ni-MH;Iprinc;22;0
G22-PHEV50-Ni-MH;Iprinc;43;0
G22-PHEV50-Ni-MH;Iprinc;44;0
G22-PHEV50-Ni-MH;Iprinc;4;0
G22-PHEV50-Ni-MH;Iprinc;4a;0.005
G22-PHEV50-Ni-MH;Iprinc;4b;0
G22-PHEV50-Ni-MH;Iprinc;5;0
G22-PHEV50-Ni-MH;Iprinc;48;0
G22-PHEV50-Ni-MH;Iprinc;49;0
G22-PHEV50-Ni-MH;Iprinc;50;0
G22-PHEV50-Ni-MH;Iprinc;37;0
G22-PHEV50-Ni-MH;Iprinc;52;0
G22-PHEV50-Ni-MH;Iprinc;26;0
G22-PHEV50-Ni-MH;Iprinc;2;0
G22-PHEV50-Ni-MH;Iprinc;35;0
G22-PHEV50-Ni-MH;Iprinc;58;0
G22-PHEV50-Ni-MH;Iprinc;59;0
G22-PHEV50-Ni-MH;Iprinc;60;0
G22-PHEV50-Ni-MH;Iprinc;3;0.12
G22-PHEV50-Ni-MH;Iprinc;1;0.237
G22-PHEV50-Ni-MH;Iprinc;6;0.039
G22-PHEV50-Ni-MH;Iprinc;8;0.01
G22-PHEV50-Ni-MH;Iprinc;66;0.018
G22-PHEV50-Ni-MH;Iprinc;15;0.282
G22-PHEV50-Ni-MH;Iprinc;68;0.063
G22-PHEV50-Ni-MH;Iprinc;10;0.225
G22-PHEV50-Ni-MH;Iprinc;11;0.001000000000000001
G22-PHEV50-Ni-MH;Iprinc;85;1
G22-PHEV50-Ni-MH;Iprinc;86;0
G22-PHEV50-Ni-MH;Iprinc;87;0
G22-PHEV50-Ni-MH;Iprinc;88;0
G22-PHEV50-Ni-MH;Iprinc;89;0
G22-PHEV50-Ni-MH;Iprinc;90;0
G22-PHEV50-Ni-MH;Iprinc;91;0
G22-PHEV50-Ni-MH;Iprinc;92;0
G22-PHEV50-Ni-MH;Iprinc;93;0
G22-PHEV50-Ni-MH;Iprinc;94;0
G22-PHEV50-Ni-MH;Iprinc;95;0
G22-PHEV50-Ni-MH;Iprinc;96;0
G22-PHEV50-Ni-MH;Iprinc;97;0
G22-PHEV50-Ni-MH;Iprinc;98;0
G22-PHEV50-Ni-MH;Iprinc;99;0
G22-PHEV50-Ni-MH;Iprinc;100;0
G22-SPHEV20-LFP;Iprinc;41;0.1657165716571657
G22-SPHEV20-LFP;Iprinc;22;0.08820882088208822
G22-SPHEV20-LFP;Iprinc;43;0
G22-SPHEV20-LFP;Iprinc;44;0.005200520052005201
G22-SPHEV20-LFP;Iprinc;6;0.092009200920092
G22-SPHEV20-LFP;Iprinc;4;0.1457145714571457
G22-SPHEV20-LFP;Iprinc;4a;0
G22-SPHEV20-LFP;Iprinc;4b;0
G22-SPHEV20-LFP;Iprinc;5;0
G22-SPHEV20-LFP;Iprinc;48;0.007100710071007101
G22-SPHEV20-LFP;Iprinc;49;0.0198019801980198
G22-SPHEV20-LFP;Iprinc;50;0.0198019801980198
G22-SPHEV20-LFP;Iprinc;37;0.0072007200720072
G22-SPHEV20-LFP;Iprinc;52;0
G22-SPHEV20-LFP;Iprinc;10;0.0133013301330133
G22-SPHEV20-LFP;Iprinc;26;0.0028002800280028
G22-SPHEV20-LFP;Iprinc;1;0.3258325832583258
G22-SPHEV20-LFP;Iprinc;2;0.05360536053605361
