IDVMR;IDGG;IDM;MshareGG
BISD3;G;39;0
BISD3;G;40;0
BISD3;H;1;0
BISD3;H;2;0
BISD3;H;12;0
BISD3;H;14;0
BISD3;H;4a;0
BISD3;H;4b;0
BISD3;H;6;0
BISD3;H;10;0
BISD3;H;11;0
BISD3;H;15;0
BISD3;H;21;0
BISD3;H;40;0
BISD3;Iaux;37;0.061
BISD3;Iaux;72;0.69
BISD3;Iaux;73;0.079
BISD3;Iaux;29;0.021
BISD3;Iaux;75;0.141
BISD3;Iaux;76;0.008000000000000118
BISD3;Iaux;84;1
BISD6;A;1;0.648589044735067
BISD6;A;4a;0.02866444228700337
BISD6;A;4b;0
BISD6;A;5;0.002037785936527162
BISD6;A;6;0.02189539679733182
BISD6;A;7;0
BISD6;A;8;0
BISD6;A;14;0.008653232239797847
BISD6;A;9;0.04546675960342684
BISD6;A;12;0
BISD6;A;10;0.221663762005411
BISD6;A;11;0.01771479058598038
BISD6;A;40;0.00531478580945477
BISD6;B;1;0.6665836603629145
BISD6;B;3;0
BISD6;B;4a;0.01662591967472562
BISD6;B;4b;0
BISD6;B;5;0.1084040143908762
BISD6;B;6;0.01342215492570721
BISD6;B;7;0
BISD6;B;8;0.001885932547107197
BISD6;B;14;0.006783709194509935
BISD6;B;10;0.03011256436694288
BISD6;B;11;0.1561349496470749
BISD6;B;40;4.709489014154133e-05
BISD6;C;1;0.4949505049495052
BISD6;C;2;0.01509849015098491
BISD6;C;5;0.3038696130386962
BISD6;C;6;0.1252874712528747
BISD6;C;23;0.02719728027197281
BISD6;C;24;0.0003999600039996002
BISD6;C;25;0.005499450054994501
BISD6;C;15;0.0002999700029997001
BISD6;C;26;0.004499550044995501
BISD6;C;27;0.004099590040995901
BISD6;C;28;0.0010998900109989
BISD6;C;14;0.0002999700029997001
BISD6;C;30;0.0009999000099990003
BISD6;C;31;0.007699230076992303
BISD6;C;32;0.0003999600039996002
BISD6;C;33;0.0012998700129987
BISD6;C;34;0.006499350064993502
BISD6;C;7;0.0004999500049995001
BISD6;C;40;0
BISD6;D;1;0.4839951600483995
BISD6;D;2;0
BISD6;D;3;0.2419975800241997
BISD6;D;4a;0
BISD6;D;4b;0
BISD6;D;5;0.1449985500144998
BISD6;D;6;0.02499975000249997
BISD6;D;8;0
BISD6;D;14;0
BISD6;D;10;0.08199918000819992
BISD6;D;11;0.02199978000219998
BISD6;D;12;0
BISD6;D;16;0
BISD6;D;17;0
BISD6;D;18;0
BISD6;D;19;0
BISD6;D;20;9.99990000099999e-06
BISD6;D;22;0
BISD6;D;15;0
BISD6;D;21;0
BISD6;D;40;0
BISD6;E;1;0.605
BISD6;E;6;0.189
BISD6;E;3;0
BISD6;E;8;0
BISD6;E;4a;0.2
BISD6;E;4b;0
BISD6;E;5;0
BISD6;E;12;0
BISD6;E;10;0.002
BISD6;E;11;0
BISD6;E;40;0.004000000000000004
BISD6;F;1;0.361
BISD6;F;5;0.361
BISD6;F;6;0.278
BISD6;F;40;0
BISD6;G;1;0.0309
BISD6;G;5;0.6167
BISD6;G;6;0.1896
BISD6;G;11;0.0086
BISD6;G;10;0.0102
BISD6;G;35;0.0022
BISD6;G;31;0.0045
BISD6;G;14;0.0091
BISD6;G;36;0
BISD6;G;15;0.0016
BISD6;G;32;0.0009
BISD6;G;26;0.0237
BISD6;G;37;0.0334
BISD6;G;38;0.0168
BISD6;G;7;0.0088
BISD6;G;39;0.0002
BISD6;G;40;0.04279999999999984
BISD6;H;1;0
BISD6;H;2;0
BISD6;H;12;0
BISD6;H;14;0
BISD6;H;4a;0
BISD6;H;4b;0
BISD6;H;6;0
BISD6;H;10;0
BISD6;H;11;0
BISD6;H;15;0
BISD6;H;21;0
BISD6;H;40;0
BISD6;Iaux;37;0.061
BISD6;Iaux;72;0.69
BISD6;Iaux;73;0.079
BISD6;Iaux;29;0.021
BISD6;Iaux;75;0.141
BISD6;Iaux;76;0.008000000000000118
BISD6;Iaux;84;1
BISD7;A;1;0.648589044735067
BISD7;A;4a;0.02866444228700337
BISD7;A;4b;0
BISD7;A;5;0.002037785936527162
BISD7;A;6;0.02189539679733182
BISD7;A;7;0
BISD7;A;8;0
BISD7;A;14;0.008653232239797847
BISD7;A;9;0.04546675960342684
BISD7;A;12;0
BISD7;A;10;0.221663762005411
BISD7;A;11;0.01771479058598038
BISD7;A;40;0.00531478580945477
BISD7;B;1;0.6665836603629145
BISD7;B;3;0
BISD7;B;4a;0.01662591967472562
BISD7;B;4b;0
BISD7;B;5;0.1084040143908762
BISD7;B;6;0.01342215492570721
BISD7;B;7;0
BISD7;B;8;0.001885932547107197
BISD7;B;14;0.006783709194509935
BISD7;B;10;0.03011256436694288
BISD7;B;11;0.1561349496470749
BISD7;B;40;4.709489014154133e-05
BISD7;C;1;0.4949505049495052
BISD7;C;2;0.01509849015098491
BISD7;C;5;0.3038696130386962
BISD7;C;6;0.1252874712528747
BISD7;C;23;0.02719728027197281
BISD7;C;24;0.0003999600039996002
BISD7;C;25;0.005499450054994501
BISD7;C;15;0.0002999700029997001
BISD7;C;26;0.004499550044995501
BISD7;C;27;0.004099590040995901
BISD7;C;28;0.0010998900109989
BISD7;C;14;0.0002999700029997001
BISD7;C;30;0.0009999000099990003
BISD7;C;31;0.007699230076992303
BISD7;C;32;0.0003999600039996002
BISD7;C;33;0.0012998700129987
BISD7;C;34;0.006499350064993502
BISD7;C;7;0.0004999500049995001
BISD7;C;40;0
BISD7;D;1;0.4839951600483995
BISD7;D;2;0
BISD7;D;3;0.2419975800241997
BISD7;D;4a;0
BISD7;D;4b;0
BISD7;D;5;0.1449985500144998
BISD7;D;6;0.02499975000249997
BISD7;D;8;0
BISD7;D;14;0
BISD7;D;10;0.08199918000819992
BISD7;D;11;0.02199978000219998
BISD7;D;12;0
BISD7;D;16;0
BISD7;D;17;0
BISD7;D;18;0
BISD7;D;19;0
BISD7;D;20;9.99990000099999e-06
BISD7;D;22;0
BISD7;D;15;0
BISD7;D;21;0
BISD7;D;40;0
BISD7;E;1;0.605
BISD7;E;6;0.189
BISD7;E;3;0
BISD7;E;8;0
BISD7;E;4a;0.2
BISD7;E;4b;0
BISD7;E;5;0
BISD7;E;12;0
BISD7;E;10;0.002
BISD7;E;11;0
BISD7;E;40;0.004000000000000004
BISD7;F;1;0.361
BISD7;F;5;0.361
BISD7;F;6;0.278
BISD7;F;40;0
BISD7;G;1;0.0309
BISD7;G;5;0.6167
BISD7;G;6;0.1896
BISD7;G;11;0.0086
BISD7;G;10;0.0102
BISD7;G;35;0.0022
BISD7;G;31;0.0045
BISD7;G;14;0.0091
BISD7;G;36;0
BISD7;G;15;0.0016
BISD7;G;32;0.0009
BISD7;G;26;0.0237
BISD7;G;37;0.0334
BISD7;G;38;0.0168
BISD7;G;7;0.0088
BISD7;G;39;0.0002
BISD7;G;40;0.04279999999999984
BISD7;H;1;0
BISD7;H;2;0
BISD7;H;12;0
BISD7;H;14;0
BISD7;H;4a;0
BISD7;H;4b;0
BISD7;H;6;0
BISD7;H;10;0
BISD7;H;11;0
BISD7;H;15;0
BISD7;H;21;0
BISD7;H;40;0
BISD7;Iaux;37;0.061
BISD7;Iaux;72;0.69
BISD7;Iaux;73;0.079
BISD7;Iaux;29;0.021
BISD7;Iaux;75;0.141
BISD7;Iaux;76;0.008000000000000118
BISD7;Iaux;84;1
BISD8;A;1;0.648589044735067
BISD8;A;4a;0.02866444228700337
BISD8;A;4b;0
BISD8;A;5;0.002037785936527162
BISD8;A;6;0.02189539679733182
BISD8;A;7;0
BISD8;A;8;0
